date,member_id,base_pv,pnl_1d
2024-01-02,MBR_001,119218602.64,0.0
2024-01-02,MBR_002,33955617.56,0.0
2024-01-02,MBR_003,100812077.36,0.0
2024-01-02,MBR_004,-67571112.98,0.0
2024-01-02,MBR_005,-136988475.65,0.0
2024-01-02,MBR_006,,
2024-01-02,MBR_007,89526519.27,0.0
2024-01-02,MBR_008,1905851.68,0.0
2024-01-02,MBR_009,,
2024-01-02,MBR_010,140876161.65,0.0
2024-01-03,MBR_001,125436025.15,6217422.51
2024-01-03,MBR_002,33785012.5,-170605.06
2024-01-03,MBR_003,99189078.07,-1622999.29
2024-01-03,MBR_004,-76767866.27,-9196753.29
2024-01-03,MBR_005,-131559260.41,5429215.24
2024-01-03,MBR_006,8713076.69,
2024-01-03,MBR_007,98036164.82,8509645.55
2024-01-03,MBR_008,1058776.71,-847074.98
2024-01-03,MBR_009,188057887.56,
2024-01-03,MBR_010,142562673.22,1686511.57
2024-01-04,MBR_001,124217055.7,-1218969.45
2024-01-04,MBR_002,33979575.1,194562.6
2024-01-04,MBR_003,102606228.0,3417149.93
2024-01-04,MBR_004,-64542250.35,12225615.92
2024-01-04,MBR_005,-126362208.52,5197051.89
2024-01-04,MBR_006,9738297.62,1025220.93
2024-01-04,MBR_007,92062732.09,-5973432.73
2024-01-04,MBR_008,5626395.54,4567618.83
2024-01-04,MBR_009,205784010.01,17726122.45
2024-01-04,MBR_010,140340529.9,-2222143.32
2024-01-05,MBR_001,123219641.4,-997414.3
2024-01-05,MBR_002,34026660.6,47085.5
2024-01-05,MBR_003,104422498.4,1816270.4
2024-01-05,MBR_004,-67049592.08,-2507341.73
2024-01-05,MBR_005,-130728864.97,-4366656.44
2024-01-05,MBR_006,11517604.88,1779307.27
2024-01-05,MBR_007,92751612.5,688880.41
2024-01-05,MBR_008,2997896.09,-2628499.45
2024-01-05,MBR_009,209491401.85,3707391.84
2024-01-05,MBR_010,145968085.2,5627555.3
2024-01-08,MBR_001,122361331.56,-858309.84
2024-01-08,MBR_002,33867972.05,-158688.55
2024-01-08,MBR_003,101165910.39,-3256588.01
2024-01-08,MBR_004,-76234391.18,-9184799.11
2024-01-08,MBR_005,-137296707.75,-6567842.78
2024-01-08,MBR_006,9822756.36,-1694848.52
2024-01-08,MBR_007,94517976.19,1766363.69
2024-01-08,MBR_008,3277938.18,280042.09
2024-01-08,MBR_009,204589608.12,-4901793.73
2024-01-08,MBR_010,142994361.22,-2973723.98
2024-01-09,MBR_001,124121032.54,1759700.98
2024-01-09,MBR_002,33788566.3,-79405.76
2024-01-09,MBR_003,101026703.33,-139207.06
2024-01-09,MBR_004,-75889872.43,344518.75
2024-01-09,MBR_005,-137651103.29,-354395.54
2024-01-09,MBR_006,6168399.1,-3654357.26
2024-01-09,MBR_007,95075603.1,557626.9
2024-01-09,MBR_008,477824.11,-2800114.07
2024-01-09,MBR_009,208958714.95,4369106.83
2024-01-09,MBR_010,144726436.45,1732075.23
2024-01-10,MBR_001,125566338.72,1445306.17
2024-01-10,MBR_002,33871397.82,82831.52
2024-01-10,MBR_003,101255200.31,228496.98
2024-01-10,MBR_004,-72226343.42,3663529.01
2024-01-10,MBR_005,-130436583.5,7214519.79
2024-01-10,MBR_006,4959903.19,-1208495.9
2024-01-10,MBR_007,91624582.59,-3451020.5
2024-01-10,MBR_008,144442.0,-333382.11
2024-01-10,MBR_009,201644182.76,-7314532.18
2024-01-10,MBR_010,145099125.91,372689.46
2024-01-11,MBR_001,122676530.9,-2889807.82
2024-01-11,MBR_002,34103649.79,232251.97
2024-01-11,MBR_003,100050167.47,-1205032.84
2024-01-11,MBR_004,-69266358.97,2959984.45
2024-01-11,MBR_005,-136333179.72,-5896596.23
2024-01-11,MBR_006,4502088.42,-457814.78
2024-01-11,MBR_007,94473426.59,2848844.0
2024-01-11,MBR_008,1306781.27,1162339.27
2024-01-11,MBR_009,201722965.73,78782.97
2024-01-11,MBR_010,142818928.64,-2280197.27
2024-01-12,MBR_001,126273147.55,3596616.65
2024-01-12,MBR_002,34569436.87,465787.08
2024-01-12,MBR_003,99219220.75,-830946.72
2024-01-12,MBR_004,-65175481.67,4090877.3
2024-01-12,MBR_005,-127341587.19,8991592.53
2024-01-12,MBR_006,4018300.71,-483787.71
2024-01-12,MBR_007,96091842.16,1618415.57
2024-01-12,MBR_008,5392555.11,4085773.84
2024-01-12,MBR_009,201659363.94,-63601.79
2024-01-12,MBR_010,142853861.57,34932.93
2024-01-15,MBR_001,121374882.2,-4898265.35
2024-01-15,MBR_002,34118351.43,-451085.44
2024-01-15,MBR_003,104503230.92,5284010.17
2024-01-15,MBR_004,-73527603.9,-8352122.23
2024-01-15,MBR_005,-125871708.64,1469878.55
2024-01-15,MBR_006,3494765.89,-523534.82
2024-01-15,MBR_007,93585272.26,-2506569.91
2024-01-15,MBR_008,4661232.37,-731322.74
2024-01-15,MBR_009,194522646.53,-7136717.41
2024-01-15,MBR_010,145311292.29,2457430.72
2024-01-16,MBR_001,122677036.18,1302153.98
2024-01-16,MBR_002,33976053.02,-142298.41
2024-01-16,MBR_003,99345532.28,-5157698.64
2024-01-16,MBR_004,-56793045.97,16734557.93
2024-01-16,MBR_005,-134417909.67,-8546201.03
2024-01-16,MBR_006,3936948.66,442182.76
2024-01-16,MBR_007,89109669.09,-4475603.17
2024-01-16,MBR_008,5878762.77,1217530.4
2024-01-16,MBR_009,204201167.42,9678520.89
2024-01-16,MBR_010,135833354.02,-9477938.27
2024-01-17,MBR_001,117076649.36,-5600386.82
2024-01-17,MBR_002,32694878.86,-1281174.16
2024-01-17,MBR_003,95641349.72,-3704182.56
2024-01-17,MBR_004,-67688431.78,-10895385.81
2024-01-17,MBR_005,-129969183.11,4448726.56
2024-01-17,MBR_006,3647990.18,-288958.48
2024-01-17,MBR_007,89739359.31,629690.22
2024-01-17,MBR_008,4134582.63,-1744180.14
2024-01-17,MBR_009,208745171.38,4544003.96
2024-01-17,MBR_010,143474625.84,7641271.82
2024-01-18,MBR_001,124005762.36,6929112.99
2024-01-18,MBR_002,33406610.65,711731.79
2024-01-18,MBR_003,98987070.4,3345720.68
2024-01-18,MBR_004,-63471157.38,4217274.4
2024-01-18,MBR_005,-124820006.23,5149176.88
2024-01-18,MBR_006,1493708.3,-2154281.88
2024-01-18,MBR_007,89969114.9,229755.59
2024-01-18,MBR_008,5350614.36,1216031.73
2024-01-18,MBR_009,202377364.99,-6367806.39
2024-01-18,MBR_010,144864916.94,1390291.11
2024-01-19,MBR_001,122579806.46,-1425955.9
