date,member_id,cash_collateral,gov_bond_collateral,haircut_pct,collateral_value_post_haircut
2024-01-02,MBR_001,3711859.31,2134514.29,0.0262,5790449.32
2024-01-03,MBR_001,4910124.33,1998929.08,0.0443,6820500.86
2024-01-04,MBR_001,3769152.51,2247528.73,0.0371,5933297.93
2024-01-05,MBR_001,4410999.97,3120765.83,0.0265,7449065.5
2024-01-08,MBR_001,4868311.75,3080870.57,0.0386,7830260.71
2024-01-09,MBR_001,3565931.47,2897795.35,0.046,6330428.24
2024-01-10,MBR_001,4279837.17,2048247.9,0.0172,6292855.21
2024-01-11,MBR_001,4734919.31,1892669.9,0.0318,6567402.31
2024-01-12,MBR_001,3826302.55,2195611.26,0.0491,5914109.3
2024-01-15,MBR_001,3929908.23,2736601.82,0.0407,6555130.35
2024-01-16,MBR_001,3946336.46,1976626.53,0.0409,5842118.97
2024-01-17,MBR_001,4180417.82,2176644.47,0.0185,6316794.37
2024-01-18,MBR_001,4930558.71,2683946.1,0.0309,7531570.87
2024-01-19,MBR_001,3700012.79,3060624.5,0.0233,6689324.74
2024-01-22,MBR_001,4657564.43,3050565.09,0.0182,7652609.23
2024-01-23,MBR_001,4922528.75,3034799.66,0.0326,7858393.93
2024-01-24,MBR_001,4563546.84,2161803.79,0.0389,6641256.46
2024-01-25,MBR_001,4148592.63,2229877.51,0.0379,6293957.79
2024-01-26,MBR_001,4080647.3,2766331.01,0.0441,6724983.12
2024-01-29,MBR_001,3921691.02,2061462.52,0.0228,5936152.2
2024-01-30,MBR_001,4138141.11,2800170.58,0.0275,6861307.0
2024-01-31,MBR_001,4519887.59,3178016.23,0.0193,7636568.11
2024-02-01,MBR_001,4611827.45,2444015.9,0.0267,6990588.12
2024-02-02,MBR_001,4389946.61,1936430.21,0.0226,6282613.49
2024-02-05,MBR_001,3926123.85,2633168.22,0.019,6509261.88
2024-02-06,MBR_001,3605460.5,1826723.24,0.041,5357288.08
2024-02-07,MBR_001,4506234.4,2971624.4,0.0371,7367611.54
2024-02-08,MBR_001,3612339.24,2761542.38,0.0319,6285788.42
2024-02-09,MBR_001,4899663.24,2094423.28,0.0131,6966649.58
2024-02-12,MBR_001,4717220.79,2367446.49,0.0288,7016484.83
2024-02-13,MBR_001,4553134.38,2028076.13,0.028,6524424.38
2024-02-14,MBR_001,4673960.78,2610032.41,0.0461,7163670.7
2024-02-15,MBR_001,4763205.91,2156286.85,0.0418,6829359.98
2024-02-16,MBR_001,4438754.92,1940577.18,0.0205,6339550.27
