date,risk_factor_id,asset_class,spot,return_1d,vol,bid_ask_bps,avg_daily_volume,liquidity_bucket
2024-01-02,SPX,equity_index,4826.7259,0.0,,1.0,500000,liquid
2024-01-03,SPX,equity_index,4879.9958,0.01097598,0.123205,1.0,500000,liquid
2024-01-04,SPX,equity_index,4878.618,-0.00028237,0.101915,1.0,500000,liquid
2024-01-05,SPX,equity_index,4924.028,0.0092649,0.094719,1.0,500000,liquid
2024-01-08,SPX,equity_index,4962.9723,0.00787793,0.084553,1.0,500000,liquid
2024-01-09,SPX,equity_index,4919.0149,-0.00889654,0.12044,1.0,500000,liquid
2024-01-10,SPX,equity_index,4904.7967,-0.00289463,0.115786,1.0,500000,liquid
2024-01-11,SPX,equity_index,4894.0502,-0.00219343,0.110114,1.0,500000,liquid
2024-01-12,SPX,equity_index,4922.2946,0.00575458,0.105179,1.0,500000,liquid
2024-01-15,SPX,equity_index,4953.4694,0.00631342,0.101313,1.0,500000,liquid
2024-01-16,SPX,equity_index,4979.9527,0.00533216,0.097004,1.0,500000,liquid
2024-01-17,SPX,equity_index,4910.9548,-0.01395201,0.120319,1.0,500000,liquid
2024-01-18,SPX,equity_index,4948.4549,0.00760701,0.118351,1.0,500000,liquid
2024-01-19,SPX,equity_index,4961.9292,0.00271923,0.113759,1.0,500000,liquid
2024-01-22,SPX,equity_index,5011.0757,0.009856,0.114284,1.0,500000,liquid
2024-01-23,SPX,equity_index,5014.8275,0.00074842,0.110627,1.0,500000,liquid
2024-01-24,SPX,equity_index,4916.1872,-0.01986575,0.137169,1.0,500000,liquid
2024-01-25,SPX,equity_index,4874.2363,-0.00856985,0.137885,1.0,500000,liquid
2024-01-26,SPX,equity_index,4836.2055,-0.00783301,0.137429,1.0,500000,liquid
2024-01-29,SPX,equity_index,4817.5576,-0.00386335,0.134503,1.0,500000,liquid
2024-01-30,SPX,equity_index,4850.2401,0.00676114,0.13669,1.0,500000,liquid
2024-01-31,SPX,equity_index,4829.3578,-0.00431472,0.131441,1.0,500000,liquid
2024-02-01,SPX,equity_index,4713.6864,-0.02424323,0.156072,1.0,500000,liquid
2024-02-02,SPX,equity_index,4740.9811,0.00577383,0.153281,1.0,500000,liquid
2024-02-05,SPX,equity_index,4717.6385,-0.00493575,0.149138,1.0,500000,liquid
2024-02-06,SPX,equity_index,4702.328,-0.00325064,0.147279,1.0,500000,liquid
2024-02-07,SPX,equity_index,4678.5744,-0.00506426,0.147605,1.0,500000,liquid
2024-02-08,SPX,equity_index,4711.5354,0.0070204,0.151321,1.0,500000,liquid
2024-02-09,SPX,equity_index,4735.4727,0.0050677,0.150879,1.0,500000,liquid
