date,member_id,instrument_id,quantity,market_value,delta_equiv,vega_equiv
2024-01-02,MBR_001,ES1,273,65884808.54,13650.0,0.0
2024-01-02,MBR_001,TY1,334,36919892.4,334000.0,0.0
2024-01-02,MBR_001,CL1,217,16413901.7,217000.0,0.0
2024-01-03,MBR_001,ES1,285,69539940.15,14250.0,0.0
2024-01-03,MBR_001,TY1,343,38082912.7,343000.0,0.0
2024-01-03,MBR_001,CL1,231,17813172.3,231000.0,0.0
2024-01-04,MBR_001,ES1,271,66105273.9,13550.0,0.0
2024-01-04,MBR_001,TY1,355,39381925.0,355000.0,0.0
2024-01-04,MBR_001,CL1,236,18729856.8,236000.0,0.0
2024-01-05,MBR_001,ES1,276,67951586.4,13800.0,0.0
2024-01-05,MBR_001,TY1,338,37539801.0,338000.0,0.0
2024-01-05,MBR_001,CL1,228,17728254.0,228000.0,0.0
2024-01-08,MBR_001,ES1,271,67248274.67,13550.0,0.0
2024-01-08,MBR_001,TY1,343,38186018.5,343000.0,0.0
2024-01-08,MBR_001,CL1,226,16927038.4,226000.0,0.0
2024-01-09,MBR_001,ES1,281,69112159.34,14050.0,0.0
2024-01-09,MBR_001,TY1,340,37923260.0,340000.0,0.0
2024-01-09,MBR_001,CL1,228,17085613.2,228000.0,0.0
2024-01-10,MBR_001,ES1,289,70874312.32,14450.0,0.0
2024-01-10,MBR_001,TY1,336,37665566.4,336000.0,0.0
2024-01-10,MBR_001,CL1,220,17026460.0,220000.0,0.0
2024-01-11,MBR_001,ES1,280,68516702.8,14000.0,0.0
2024-01-11,MBR_001,TY1,322,36209672.8,322000.0,0.0
2024-01-11,MBR_001,CL1,231,17950155.3,231000.0,0.0
2024-01-12,MBR_001,ES1,285,70142698.05,14250.0,0.0
2024-01-12,MBR_001,TY1,343,38195279.5,343000.0,0.0
2024-01-12,MBR_001,CL1,230,17935170.0,230000.0,0.0
2024-01-15,MBR_001,ES1,260,64395102.2,13000.0,0.0
2024-01-15,MBR_001,TY1,348,38716044.0,348000.0,0.0
2024-01-15,MBR_001,CL1,232,18263736.0,232000.0,0.0
2024-01-16,MBR_001,ES1,268,66731366.18,13400.0,0.0
2024-01-16,MBR_001,TY1,362,40468740.2,362000.0,0.0
2024-01-16,MBR_001,CL1,222,15476929.8,222000.0,0.0
2024-01-17,MBR_001,ES1,264,64824603.36,13200.0,0.0
2024-01-17,MBR_001,TY1,325,36372570.0,325000.0,0.0
2024-01-17,MBR_001,CL1,230,15879476.0,230000.0,0.0
2024-01-18,MBR_001,ES1,279,69030945.85,13950.0,0.0
2024-01-18,MBR_001,TY1,347,38788458.1,347000.0,0.0
2024-01-18,MBR_001,CL1,228,16186358.4,228000.0,0.0
2024-01-19,MBR_001,ES1,271,67234140.66,13550.0,0.0
2024-01-19,MBR_001,TY1,351,39270933.0,351000.0,0.0
2024-01-19,MBR_001,CL1,224,16074732.8,224000.0,0.0
2024-01-22,MBR_001,ES1,267,66897860.6,13350.0,0.0
2024-01-22,MBR_001,TY1,357,39981001.2,357000.0,0.0
2024-01-22,MBR_001,CL1,231,16205158.2,231000.0,0.0
2024-01-23,MBR_001,ES1,280,70207585.0,14000.0,0.0
2024-01-23,MBR_001,TY1,349,39042385.7,349000.0,0.0
2024-01-23,MBR_001,CL1,227,15706652.1,227000.0,0.0
2024-01-24,MBR_001,ES1,273,67105955.28,13650.0,0.0
2024-01-24,MBR_001,TY1,349,39240687.5,349000.0,0.0
2024-01-24,MBR_001,CL1,226,15538539.6,226000.0,0.0
2024-01-25,MBR_001,ES1,279,67995596.38,13950.0,0.0
2024-01-25,MBR_001,TY1,343,38560162.9,343000.0,0.0
2024-01-25,MBR_001,CL1,222,14972878.8,222000.0,0.0
2024-01-26,MBR_001,ES1,285,68915928.38,14250.0,0.0
2024-01-26,MBR_001,TY1,330,37134603.0,330000.0,0.0
2024-01-26,MBR_001,CL1,231,15866350.5,231000.0,0.0
2024-01-29,MBR_001,ES1,277,66723172.76,13850.0,0.0
2024-01-29,MBR_001,TY1,356,39880401.6,356000.0,0.0
2024-01-29,MBR_001,CL1,223,15348621.7,223000.0,0.0
2024-01-30,MBR_001,ES1,273,66205777.36,13650.0,0.0
2024-01-30,MBR_001,TY1,342,38613373.2,342000.0,0.0
2024-01-30,MBR_001,CL1,231,15867736.5,231000.0,0.0
2024-01-31,MBR_001,ES1,284,68576880.76,14200.0,0.0
2024-01-31,MBR_001,TY1,346,39019907.8,346000.0,0.0
2024-01-31,MBR_001,CL1,230,15717671.0,230000.0,0.0
2024-02-01,MBR_001,ES1,285,67170031.2,14250.0,0.0
2024-02-01,MBR_001,TY1,364,40982250.4,364000.0,0.0
2024-02-01,MBR_001,CL1,221,15418816.4,221000.0,0.0
2024-02-02,MBR_001,ES1,277,65662588.24,13850.0,0.0
2024-02-02,MBR_001,TY1,350,39256735.0,350000.0,0.0
2024-02-02,MBR_001,CL1,230,15406895.0,230000.0,0.0
2024-02-05,MBR_001,ES1,288,67933994.4,14400.0,0.0
2024-02-05,MBR_001,TY1,340,38199918.0,340000.0,0.0
2024-02-05,MBR_001,CL1,224,14857785.6,224000.0,0.0
2024-02-06,MBR_001,ES1,284,66773057.6,14200.0,0.0
2024-02-06,MBR_001,TY1,315,35340606.0,315000.0,0.0
2024-02-06,MBR_001,CL1,227,15222143.3,227000.0,0.0
2024-02-07,MBR_001,ES1,296,69242901.12,14800.0,0.0
2024-02-07,MBR_001,TY1,343,38194627.8,343000.0,0.0
2024-02-07,MBR_001,CL1,232,15869310.4,232000.0,0.0
2024-02-08,MBR_001,ES1,270,63605727.9,13500.0,0.0
2024-02-08,MBR_001,TY1,343,38010574.0,343000.0,0.0
2024-02-08,MBR_001,CL1,230,15899187.0,230000.0,0.0
2024-02-09,MBR_001,ES1,292,69137901.42,14600.0,0.0
2024-02-09,MBR_001,TY1,333,36725437.8,333000.0,0.0
2024-02-09,MBR_001,CL1,211,14103071.2,211000.0,0.0
2024-02-12,MBR_001,ES1,280,66204178.6,14000.0,0.0
2024-02-12,MBR_001,TY1,358,39737463.0,358000.0,0.0
2024-02-12,MBR_001,CL1,226,15604486.4,226000.0,0.0
2024-02-13,MBR_001,ES1,262,59681116.24,13100.0,0.0
2024-02-13,MBR_001,TY1,332,36849078.4,332000.0,0.0
2024-02-13,MBR_001,CL1,232,15805417.6,232000.0,0.0
2024-02-14,MBR_001,ES1,273,61527066.51,13650.0,0.0
2024-02-14,MBR_001,TY1,343,38059931.7,343000.0,0.0
2024-02-14,MBR_001,CL1,214,14654570.2,214000.0,0.0
2024-02-15,MBR_001,ES1,273,61334889.53,13650.0,0.0
2024-02-15,MBR_001,TY1,351,38902979.7,351000.0,0.0
2024-02-15,MBR_001,CL1,229,15787832.5,229000.0,0.0
2024-02-16,MBR_001,ES1,269,61216465.84,13450.0,0.0
2024-02-16,MBR_001,TY1,353,39191048.4,353000.0,0.0
2024-02-16,MBR_001,CL1,236,16445589.2,236000.0,0.0
2024-02-19,MBR_001,ES1,274,61546234.83,13700.0,0.0
2024-02-19,MBR_001,TY1,336,37288977.6,336000.0,0.0
2024-02-19,MBR_001,CL1,238,16699769.8,238000.0,0.0
2024-02-20,MBR_001,ES1,273,60211052.26,13650.0,0.0
2024-02-20,MBR_001,TY1,342,37840590.0,342000.0,0.0
2024-02-20,MBR_001,CL1,242,17224446.8,242000.0,0.0
2024-02-21,MBR_001,ES1,278,60514564.62,13900.0,0.0
2024-02-21,MBR_001,TY1,338,37360154.0,338000.0,0.0
2024-02-21,MBR_001,CL1,217,15296330.0,217000.0,0.0
2024-02-22,MBR_001,ES1,277,59937919.26,13850.0,0.0
2024-02-22,MBR_001,TY1,343,38159436.0,343000.0,0.0
2024-02-22,MBR_001,CL1,226,15283792.4,226000.0,0.0
2024-02-23,MBR_001,ES1,284,62769962.58,14200.0,0.0
2024-02-23,MBR_001,TY1,330,36771603.0,330000.0,0.0
2024-02-23,MBR_001,CL1,220,13771098.0,220000.0,0.0
2024-02-26,MBR_001,ES1,271,60018402.52,13550.0,0.0
2024-02-26,MBR_001,TY1,343,37833654.6,343000.0,0.0
2024-02-26,MBR_001,CL1,220,14651252.0,220000.0,0.0
2024-02-27,MBR_001,ES1,267,59670242.68,13350.0,0.0
2024-02-27,MBR_001,TY1,334,36858169.2,334000.0,0.0
2024-02-27,MBR_001,CL1,230,14441608.0,230000.0,0.0
2024-02-28,MBR_001,ES1,271,59465317.27,13550.0,0.0
2024-02-28,MBR_001,TY1,352,38883680.0,352000.0,0.0
2024-02-28,MBR_001,CL1,215,13423181.0,215000.0,0.0
2024-02-29,MBR_001,ES1,279,60713781.48,13950.0,0.0
2024-02-29,MBR_001,TY1,336,37030156.8,336000.0,0.0
2024-02-29,MBR_001,CL1,232,14743089.6,232000.0,0.0
2024-03-01,MBR_001,ES1,292,63227745.5,14600.0,0.0
2024-03-01,MBR_001,TY1,342,37591750.8,342000.0,0.0
2024-03-01,MBR_001,CL1,230,13977629.0,230000.0,0.0
2024-03-04,MBR_001,ES1,283,61459513.28,14150.0,0.0
2024-03-04,MBR_001,TY1,329,36017965.9,329000.0,0.0
2024-03-04,MBR_001,CL1,233,14407415.2,233000.0,0.0
